,Unnamed: 0,Unnamed: 0.1,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
144,9271,1109398,tt1024648,movie,Argo,1.0,0,2012,120,"Biography,Drama,Thriller"
150,11459,1135614,tt1029231,movie,Krrish 3,2.0,0,2013,152,"Action,Sci-Fi"
440,44775,1942121,tt1170358,movie,The Hobbit: The Desolation of Smaug,2.0,0,2013,161,"Adventure,Fantasy"
501,51134,2183621,tt1212450,movie,Lawless,2.0,0,2012,116,"Crime,Drama"
544,53402,2300114,tt1232829,movie,21 Jump Street,1.0,0,2012,109,"Action,Comedy,Crime"
635,60375,2574922,tt1300854,movie,Iron Man 3,1.0,0,2013,130,"Action,Adventure,Sci-Fi"
683,60446,2617776,tt1345836,movie,The Dark Knight Rises,1.0,0,2012,164,"Action,Adventure"
716,60494,2662476,tt1392170,movie,The Hunger Games,1.0,0,2012,142,"Action,Adventure,Sci-Fi"
720,60499,2667435,tt1397280,movie,Taken 2,1.0,0,2012,92,"Action,Adventure,Thriller"
726,60514,2677844,tt1408101,movie,Star Trek Into Darkness,1.0,0,2013,132,"Action,Adventure,Sci-Fi"
40,75,430810,tt0448115,movie,Shazam!,1.0,0,2019,132,"Action,Adventure,Comedy"
42,77,433882,tt0451279,movie,Wonder Woman,2.0,0,2017,141,"Action,Adventure,Fantasy"
49,85,452857,tt0470752,movie,Ex Machina,1.0,0,2014,108,"Drama,Mystery,Sci-Fi"
52,89,460827,tt0478970,movie,Ant-Man,1.0,0,2015,117,"Action,Adventure,Comedy"
69,172,778658,tt0803096,movie,Warcraft,1.0,0,2016,123,"Action,Adventure,Fantasy"
72,175,791877,tt0816692,movie,Interstellar,1.0,0,2014,169,"Adventure,Drama,Sci-Fi"
1194,63680,1107801,tt10243678,movie,Chopsticks,1.0,0,2019,100,"Comedy,Drama"
8455,474425,2190429,tt1213641,movie,First Man,1.0,0,2018,141,"Biography,Drama,History"
8994,515494,2419901,tt1253863,movie,300: Rise of an Empire,2.0,0,2014,102,"Action,Drama"
9318,533664,2517440,tt1270797,movie,Venom,2.0,0,2018,112,"Action,Adventure,Sci-Fi"
9438,538853,2572782,tt1298644,movie,The Hustle,1.0,0,2019,93,"Comedy,Crime"
9440,538856,2576025,tt1302006,movie,The Irishman,1.0,0,2019,209,"Biography,Crime,Drama"
9479,538924,2627205,tt1355683,movie,Black Mass,1.0,0,2015,123,"Biography,Crime,Drama"
9500,538958,2657165,tt1386697,movie,Suicide Squad,2.0,0,2016,123,"Action,Adventure,Fantasy"
9505,538964,2662496,tt1392190,movie,Mad Max: Fury Road,1.0,0,2015,120,"Action,Adventure,Sci-Fi"
9506,538967,2666647,tt1396484,movie,It,1.0,0,2017,135,Horror
9521,538991,2699964,tt1431045,movie,Deadpool,1.0,0,2016,108,"Action,Adventure,Comedy"
9561,539040,2756825,tt1489887,movie,Booksmart,1.0,0,2019,102,Comedy
9562,539041,2756827,tt1489889,movie,Central Intelligence,1.0,0,2016,107,"Action,Comedy,Crime"
9570,539060,2762780,tt1496040,movie,We Are Family,1.0,0,2017,\N,"Comedy,Drama"
9594,539102,2794388,tt1528854,movie,Daddy's Home,1.0,0,2015,96,"Comedy,Family"
