,Unnamed: 0,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
139,476419,tt0495037,movie,O Inimigo Sem Rosto,,0,2010,85,"Crime,Drama"
143,480861,tt0499608,movie,Tranced,,0,2010,\N,"Drama,Fantasy,Romance"
148,735732,tt0758752,movie,Love & Other Drugs,,0,2010,112,"Comedy,Drama,Romance"
150,742238,tt0765465,movie,The Legend of Secret Pass,,0,2010,92,"Animation,Family,Fantasy"
151,742254,tt0765485,movie,Waste of Space,,0,2010,78,"Adventure,Comedy,Sci-Fi"
153,744836,tt0768187,movie,Me and My Umbrella,,0,2010,78,"Family,Fantasy"
154,747275,tt0770703,movie,What's Your Number?,,0,2011,106,"Comedy,Romance"
155,747294,tt0770728,movie,California Indian,,0,2011,90,Drama
156,747332,tt0770778,movie,King of the Avenue,,0,2010,83,"Drama,Fantasy,Thriller"
158,747366,tt0770819,movie,She's Out of His Mind,,0,2011,80,"Comedy,Romance"
159,748685,tt0772179,movie,Kill,,0,2011,90,"Comedy,Horror,Thriller"
160,750951,tt0774519,movie,The Chosen Heaven,,0,2010,123,"Drama,Thriller"
161,751873,tt0775461,movie,The Rain Fairy,,0,2010,100,"Family,Fantasy"
162,751899,tt0775489,movie,The Illusionist,1,0,2010,90,"Animation,Drama,Family"
163,751939,tt0775543,movie,Night Catches Us,,0,2010,90,"Drama,Romance"
164,756776,tt0780504,movie,Drive,1,0,2011,100,"Crime,Drama"
165,756891,tt0780645,movie,War of the Dead,,0,2011,86,"Action,Adventure,Horror"
166,756897,tt0780653,movie,The Wolfman,,0,2010,103,"Drama,Fantasy,Horror"
167,757671,tt0781441,movie,Escalade,,0,2011,80,Thriller
168,758267,tt0782047,movie,Irreversi,,0,2010,\N,Thriller
170,766623,tt0790663,movie,The First Grader,,0,2010,103,"Biography,Drama,Romance"
173,774514,tt0798817,movie,13,,0,2010,91,"Crime,Drama,Thriller"
176,775728,tt0800054,movie,The Guardians,,0,2010,88,"Comedy,Family"
177,775762,tt0800092,movie,Ironmen,,0,2010,119,"Biography,Drama"
178,775972,tt0800320,movie,Clash of the Titans,2,0,2010,106,"Action,Adventure,Fantasy"
179,776002,tt0800353,movie,Nemesis,,0,2010,83,Drama
180,776015,tt0800369,movie,Thor,1,0,2011,115,"Action,Adventure,Fantasy"
181,778629,tt0803061,movie,Red Dog,,0,2011,92,"Biography,Comedy,Drama"
183,780026,tt0804497,movie,It's Kind of a Funny Story,,0,2010,101,"Comedy,Drama,Romance"
184,781123,tt0805617,movie,Spoon,,0,2011,\N,"Action,Drama,Fantasy"
186,783956,tt0808510,movie,Tooth Fairy,,0,2010,101,"Comedy,Family,Fantasy"
187,786216,tt0810815,movie,Cross the Line,,0,2010,87,Action
189,786311,tt0810913,movie,Jack and Jill,,0,2011,91,Comedy
190,786320,tt0810922,movie,Take Me Home Tonight,,0,2011,114,"Comedy,Drama,Romance"
191,786414,tt0811021,movie,Birds of Paradise,,0,2010,80,"Adventure,Animation,Comedy"
192,786458,tt0811069,movie,Lavoe,,0,2011,90,"Drama,Music"
193,789312,tt0813992,movie,American Flyer,,0,2010,100,Adventure
194,789560,tt0814255,movie,Percy Jackson & the Olympians: The Lightning Thief,,0,2010,118,"Adventure,Family,Fantasy"
195,790379,tt0815101,movie,Ashes,,0,2010,77,"Crime,Drama"
196,790504,tt0815236,movie,She's Out of My League,,0,2010,104,"Comedy,Romance"
198,791663,tt0816462,movie,Conan the Barbarian,,0,2011,113,"Action,Adventure,Fantasy"
199,791836,tt0816648,movie,Shanghai Hotel,,0,2011,110,Drama
200,792352,tt0817177,movie,Flipped,,0,2010,90,"Comedy,Drama,Romance"
201,792405,tt0817230,movie,Valentine's Day,1,0,2010,125,"Comedy,Romance"
202,793257,tt0818098,movie,Dreamkiller,,0,2010,110,Thriller
203,793325,tt0818172,movie,Soupernatural,,0,2010,\N,Drama
204,797900,tt0822847,movie,Priest,,0,2011,87,"Action,Horror,Thriller"
205,800250,tt0825282,movie,The Long Falling,,0,2011,105,Drama
206,801471,tt0826532,movie,Return to Yucca Flats: Desert Man-Beast,,0,2010,79,"Comedy,Horror"
207,801742,tt0826823,movie,Magic,,0,2010,\N,"Adventure,Family"
208,805991,tt0831280,movie,Waking Madison,,0,2010,89,Drama
211,814741,tt0840361,movie,The Town,1,0,2010,125,"Crime,Drama,Thriller"
212,815149,tt0840789,movie,Río de oro,,0,2010,100,Western
213,817192,tt0842926,movie,The Kids Are All Right,,0,2010,106,"Comedy,Drama,Romance"
214,819084,tt0844866,movie,Killer by Nature,,0,2010,94,"Adventure,Crime,Drama"
215,819131,tt0844915,movie,Pox,,0,2011,100,"Comedy,Sci-Fi"
216,819208,tt0844993,movie,Hoodwinked Too! Hood vs. Evil,,0,2011,86,"Animation,Comedy,Crime"
217,820200,tt0846004,movie,Gangster Exchange,,0,2010,95,"Action,Comedy"
218,821343,tt0847180,movie,Loot,,0,2011,110,"Action,Comedy,Crime"
219,821375,tt0847215,movie,Neowolf,,0,2010,88,"Horror,Thriller"
220,821874,tt0847735,movie,Fun in the Army,,0,2010,\N,Comedy
221,821956,tt0847825,movie,The Speed of Thought,,0,2011,93,"Sci-Fi,Thriller"
223,824780,tt0850709,movie,Risen,,0,2010,121,"Biography,Drama"
224,826960,tt0852939,movie,Bloudím,,0,2010,75,Drama
225,827006,tt0852986,movie,Naked Run,,0,2011,84,Comedy
226,827022,tt0853002,movie,A Summer Song,,0,2010,\N,Drama
228,830708,tt0856796,movie,Kolorádó Kid,,0,2010,111,"Drama,Romance"
229,832265,tt0858411,movie,2001 Maniacs: Field of Screams,,0,2010,84,"Comedy,Horror"
230,832275,tt0858422,movie,Immortal Island,,0,2011,84,"Adventure,Horror,Thriller"
231,832350,tt0858500,movie,Wide Blue Yonder,,0,2010,88,"Comedy,Drama"
233,835452,tt0861747,movie,Zenitram,,0,2010,103,"Action,Adventure,Comedy"
234,839190,tt0865561,movie,6 Month Rule,,0,2011,100,Comedy
235,839536,tt0865911,movie,Catharsis,,0,2011,89,Mystery
236,843693,tt0870208,movie,Touch Wood,,0,2010,\N,Comedy
237,845305,tt0871893,movie,"Surprise, Surprise",,0,2010,83,Drama
238,845633,tt0872230,movie,My Soul to Take,,0,2010,107,"Horror,Mystery,Thriller"
239,847227,tt0873886,movie,Red State,,0,2011,88,"Action,Crime,Horror"
241,847757,tt0874426,movie,The Secret Philosophy,,0,2010,90,Thriller
243,848907,tt0875613,movie,Rift,,0,2011,100,"Horror,Thriller"
245,851860,tt0878654,movie,Bulletface,,0,2010,82,Thriller
247,852036,tt0878835,movie,Please Give,,0,2010,87,"Comedy,Drama"
248,853036,tt0879859,movie,Torn,,0,2010,\N,Thriller
249,853046,tt0879870,movie,Eat Pray Love,,0,2010,133,"Biography,Drama,Romance"
250,853709,tt0880569,movie,Mama I Want to Sing,,0,2011,100,"Drama,Family,Musical"
251,854431,tt0881320,movie,Sanctum,,0,2011,108,"Action,Adventure,Drama"
252,855817,tt0882741,movie,AIR: The Musical,,0,2010,100,"Comedy,Musical,Romance"
253,857219,tt0884214,movie,Wreckage,,0,2010,87,"Horror,Thriller"
254,857326,tt0884325,movie,Drain Baby,,0,2011,\N,Horror
256,860056,tt0887143,movie,Hyenas,,0,2011,92,Horror
257,860074,tt0887161,movie,Repo,,0,2010,97,"Comedy,Drama"
258,860649,tt0887751,movie,Honor,,0,2010,118,"Crime,Drama,Thriller"
259,862430,tt0889573,movie,The Switch,,0,2010,101,"Comedy,Drama,Romance"
260,864838,tt0892077,movie,Gun of the Black Sun,,0,2011,90,Fantasy
261,865075,tt0892318,movie,Letters to Juliet,,0,2010,105,"Adventure,Comedy,Drama"
262,865497,tt0892769,movie,How to Train Your Dragon,,0,2010,98,"Action,Adventure,Animation"
263,865517,tt0892791,movie,Shrek Forever After,,0,2010,93,"Adventure,Animation,Comedy"
264,866015,tt0893310,movie,Blur,,0,2011,90,"Drama,Mystery,Thriller"
265,866112,tt0893412,movie,From Prada to Nada,2,0,2011,107,"Comedy,Drama,Romance"
266,869406,tt0896872,movie,The Whistleblower,,0,2010,112,"Biography,Crime,Drama"
267,871607,tt0899145,movie,Don't Fade Away,,0,2010,89,Drama
268,871615,tt0899154,movie,The Key Man,,0,2011,80,"Crime,Drama,Thriller"
269,873868,tt0901504,movie,Psych:9,,0,2010,98,"Horror,Mystery,Thriller"
270,874582,tt0902247,movie,Acts of Violence,,0,2010,\N,"Crime,Drama,Thriller"
275,875327,tt0903036,movie,Westbrick Murders,,0,2010,90,"Action,Crime,Thriller"
277,877572,tt0905372,movie,The Thing,,0,2011,103,"Horror,Mystery,Sci-Fi"
278,878918,tt0906778,movie,Black Butterflies,,0,2011,100,"Biography,Drama"
279,879429,tt0907305,movie,Prey,,0,2010,90,"Adventure,Drama,Horror"
280,879831,tt0907731,movie,Eager to Die,,0,2010,109,"Drama,Thriller"
281,882919,tt0910926,movie,Movin' In,,0,2010,95,"Comedy,Romance"
283,886663,tt0914823,movie,House Under Siege,,0,2010,78,"Action,Thriller"
284,886678,tt0914852,movie,Monkeyman935,,0,2010,\N,Horror
285,886688,tt0914863,movie,Unthinkable,,0,2010,97,"Crime,Drama,Thriller"
286,887262,tt0915463,movie,Jackboots on Whitehall,,0,2010,91,"Animation,Comedy,Sci-Fi"
287,890188,tt0918553,movie,Periphery,,0,2011,\N,Drama
288,890209,tt0918575,movie,Victim,,0,2010,90,"Horror,Thriller"
289,892025,tt0920459,movie,The Happy Housewife,,0,2010,100,"Comedy,Drama,Romance"
290,895161,tt0923653,movie,The Dead Undead,,0,2010,89,"Action,Horror,Sci-Fi"
291,895454,tt0923954,movie,Truth About Kerry,,0,2010,84,"Drama,Mystery,Thriller"
292,895757,tt0924266,movie,Pizza with Bullets,,0,2010,99,Comedy
293,897547,tt0926084,movie,Harry Potter and the Deathly Hallows: Part 1,1,0,2010,146,"Adventure,Family,Fantasy"
296,901000,tt0929618,movie,The Penthouse,,0,2010,89,Comedy
297,901120,tt0929742,movie,Deep Gold 3D,,0,2011,86,Action
299,905710,tt0934446,movie,"Glenn, the Flying Robot",,0,2010,85,"Drama,Sci-Fi"
300,906234,tt0934981,movie,The Waiter,,0,2010,92,"Action,Crime,Drama"
301,906328,tt0935075,movie,Rabbit Hole,,0,2010,91,Drama
302,908547,tt0937353,movie,The Devil's Flower,,0,2010,90,"Mystery,Romance"
303,909449,tt0938283,movie,The Last Airbender,,0,2010,103,"Action,Adventure,Family"
305,911746,tt0940656,movie,Arthur 3: The War of the Two Worlds,,0,2010,101,"Adventure,Animation,Family"
306,913924,tt0942906,movie,White Knuckles,,0,2010,88,"Drama,Thriller"
307,915805,tt0944835,movie,Salt,,0,2010,100,"Action,Mystery,Thriller"
309,916453,tt0945513,movie,Source Code,,0,2011,93,"Action,Drama,Mystery"
310,918641,tt0947798,movie,Black Swan,,0,2010,108,"Drama,Thriller"
311,918651,tt0947810,movie,Green Zone,1,0,2010,115,"Action,Drama,Thriller"
312,925556,tt0954947,movie,The Killer Inside Me,,0,2010,109,"Crime,Drama,Thriller"
313,925911,tt0955308,movie,Robin Hood,,0,2010,140,"Action,Adventure,Drama"
314,929783,tt0959329,movie,Nine Dead,,0,2010,98,"Crime,Drama,Horror"
315,930505,tt0960067,movie,Heart of Now,,0,2010,90,Drama
317,931238,tt0960827,movie,Private Security Officer: Los Angeles,,0,2010,84,"Action,Comedy,Crime"
319,931506,tt0961097,movie,A Monster in Paris,,0,2011,90,"Adventure,Animation,Comedy"
320,932114,tt0961725,movie,Devour,,0,2011,\N,Horror
321,933121,tt0962764,movie,The House of Sun,,0,2010,110,Drama
